id,url,region,region_url,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,state,lat,long,posting_date
7311505958,https://bozeman.craigslist.org/ctd/d/billings-2015-ford-150-xlt-4x4-supercab/7311505958.html,bozeman,https://bozeman.craigslist.org,23495,2015.0,ford,f150 xlt 4x4,like new,8 cylinders,gas,146795.0,clean,automatic,1FTFX1EF5FFC24427,4wd,full-size,truck,black,https://images.craigslist.org/00L0L_jQPTRxYLV6Cz_0kE0fu_600x450.jpg,mt,45.777152,-108.553946,2021-04-23T13:09:50-0600
7313883453,https://jacksonville.craigslist.org/ctd/d/jacksonville-2019-chevrolet-silverado/7313883453.html,jacksonville,https://jacksonville.craigslist.org,44950,2019.0,chevrolet,silverado 1500 lt 4x4,like new,8 cylinders,gas,34456.0,clean,automatic,1GCUYDED4KZ285278,4wd,full-size,truck,red,https://images.craigslist.org/00I0I_fkbo5A7Xsh9z_0CI0t2_600x450.jpg,fl,30.207288,-81.738969,2021-04-28T12:40:46-0400
7306250024,https://daytona.craigslist.org/ctd/d/orlando-2015-toyota-camry-800-down-89/7306250024.html,daytona beach,https://daytona.craigslist.org,1,2015.0,toyota,camry,excellent,4 cylinders,gas,50566.0,clean,automatic,4T1BF1FK3FU104064,fwd,compact,sedan,black,https://images.craigslist.org/00K0K_2dRtrxXEb5Uz_0kE0fu_600x450.jpg,fl,28.466088,-81.396429,2021-04-13T13:38:22-0400
7313689176,https://louisville.craigslist.org/ctd/d/louisville-2010-gmc-terrain-awd-slt/7313689176.html,louisville,https://louisville.craigslist.org,9985,2010.0,gmc,terrain,excellent,4 cylinders,gas,138387.0,clean,automatic,2CTFLJEW4A6368909,4wd,full-size,SUV,red,https://images.craigslist.org/00p0p_3ZCxse6tmXoz_0kE0fu_600x450.jpg,ky,38.159627,-85.697708,2021-04-27T23:34:19-0400
7315377448,https://dallas.craigslist.org/dal/ctd/d/richardson-2013-hyundai-sonata-glsclean/7315377448.html,dallas / fort worth,https://dallas.craigslist.org,6600,2013.0,hyundai,sonata,good,4 cylinders,gas,154111.0,clean,automatic,5NPEB4AC8DH728836,fwd,mid-size,sedan,silver,https://images.craigslist.org/00U0U_9BywaVwcNi1z_0CI0t2_600x450.jpg,tx,32.932231,-96.745893,2021-05-01T12:18:40-0500
7314433848,https://detroit.craigslist.org/wyn/ctd/d/taylor-2017-bmw-series-320i-xdrive/7314433848.html,detroit metro,https://detroit.craigslist.org,22500,2017.0,bmw,3-series 320i,like new,4 cylinders,gas,23705.0,clean,automatic,WBA8E5G34HNU43474,4wd,mid-size,sedan,blue,https://images.craigslist.org/00101_bU8gN4xyT6Mz_0ak07K_600x450.jpg,mi,42.197416,-83.273364,2021-04-29T14:24:35-0400
7313403903,https://billings.craigslist.org/cto/d/billings-2014-ford-expedition-el-suv/7313403903.html,billings,https://billings.craigslist.org,19990,2014.0,ford,explorer xlt,excellent,8 cylinders,gas,71000.0,clean,automatic,1FMJK1J52EEF07566,4wd,full-size,SUV,grey,https://images.craigslist.org/01010_bpcXjFUeQirz_0ww0oo_600x450.jpg,mt,45.7753,-108.6519,2021-04-27T11:15:46-0600
7314947551,https://vermont.craigslist.org/ctd/d/south-barre-2011-nissan-versa-sl/7314947551.html,vermont,https://vermont.craigslist.org,6995,2011.0,nissan,versa sl hatchback,excellent,4 cylinders,gas,57988.0,clean,automatic,3N1BC1CP4BL367300,fwd,compact,hatchback,silver,https://images.craigslist.org/00v0v_bKopNir7Q5Xz_0gw0co_600x450.jpg,vt,44.209041,-72.514597,2021-04-30T14:53:05-0400
7314264697,https://omaha.craigslist.org/cto/d/omaha-2012-ford-f150-eco-boost/7314264697.html,omaha / council bluffs,https://omaha.craigslist.org,23999,2012.0,ford,f150 xlt,excellent,6 cylinders,gas,99300.0,clean,automatic,1FTFW1ET5CKD57703,4wd,full-size,truck,red,https://images.craigslist.org/01111_ffd6fmT4dCsz_0CI0t2_600x450.jpg,ia,41.197127,-96.036644,2021-04-29T08:21:49-0500
7305716199,https://rapidcity.craigslist.org/ctd/d/rapid-city-2016-chevrolet-tahoe-ltz-suv/7305716199.html,rapid city / west SD,https://rapidcity.craigslist.org,41901,2016.0,chevrolet,tahoe,excellent,8 cylinders,gas,55441.0,clean,automatic,1GNSKCKC7GR204920,4wd,full-size,SUV,red,https://images.craigslist.org/00T0T_aCJdbzQMJdz_0ak07K_600x450.jpg,sd,44.08745,-103.19813,2021-04-12T11:23:20-0600
7316900834,https://seattle.craigslist.org/see/ctd/d/lynnwood-2009-bmw-x5/7316900834.html,seattle-tacoma,https://seattle.craigslist.org,10900,2009.0,bmw,x5,like new,6 cylinders,gas,92300.0,clean,automatic,5UXFE43539L272160,4wd,full-size,SUV,grey,https://images.craigslist.org/01313_53LobWEwH9fz_0CI0pO_600x450.jpg,wa,47.8049,-122.2855,2021-05-04T12:50:12-0700
